DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,decision,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR,2016,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR,2017,20,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR,2018,15,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR,2019,5,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR,2020,35,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR,2021,70,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HR,2022,20,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2011,5,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2012,20,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2013,25,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2014,20,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2015,25,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2016,5,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2017,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2018,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2019,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2020,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2021,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,HU,2022,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,IE,2011,75,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,IE,2012,45,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,IE,2013,55,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,IE,2014,90,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,IE,2015,180,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,IE,2016,205,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,IE,2017,30,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,IE,2018,185,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,IE,2019,360,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,IE,2020,410,
